study,split,prefix,yyyymmdd,HHMM,datetime,count,filename,path_img,path_txt
study1,test_b01,t2,20221104,2308,2022-11-04 23:08:00,7,t2-20221104-2308_jpg.rf.4c84beba7fcd0f6d05dab6c0dc2f0f42,test_b01/images/t2-20221104-2308_jpg.rf.4c84beba7fcd0f6d05dab6c0dc2f0f42.jpg,test_b01/labels/t2-20221104-2308_jpg.rf.4c84beba7fcd0f6d05dab6c0dc2f0f42.txt
study1,test_b01,t2,20221104,2338,2022-11-04 23:38:00,10,t2-20221104-2338_jpg.rf.090317c365cf62ed3108b1a1d0b0fdfd,test_b01/images/t2-20221104-2338_jpg.rf.090317c365cf62ed3108b1a1d0b0fdfd.jpg,test_b01/labels/t2-20221104-2338_jpg.rf.090317c365cf62ed3108b1a1d0b0fdfd.txt
study1,test_b01,t2,20221105,0008,2022-11-05 00:08:00,9,t2-20221105-0008_jpg.rf.14a957941d418613e5f7c7f5ac9ef785,test_b01/images/t2-20221105-0008_jpg.rf.14a957941d418613e5f7c7f5ac9ef785.jpg,test_b01/labels/t2-20221105-0008_jpg.rf.14a957941d418613e5f7c7f5ac9ef785.txt
study1,test_b01,t2,20221105,0038,2022-11-05 00:38:00,7,t2-20221105-0038_jpg.rf.e154d8aecd59e514ff5c22456bc26212,test_b01/images/t2-20221105-0038_jpg.rf.e154d8aecd59e514ff5c22456bc26212.jpg,test_b01/labels/t2-20221105-0038_jpg.rf.e154d8aecd59e514ff5c22456bc26212.txt
study1,test_b01,t2,20221105,0108,2022-11-05 01:08:00,2,t2-20221105-0108_jpg.rf.904f78280332411b9f08e94da80d2606,test_b01/images/t2-20221105-0108_jpg.rf.904f78280332411b9f08e94da80d2606.jpg,test_b01/labels/t2-20221105-0108_jpg.rf.904f78280332411b9f08e94da80d2606.txt
study1,test_b01,t2,20221105,0138,2022-11-05 01:38:00,2,t2-20221105-0138_jpg.rf.43d8c8e602cce262578e531b5d20649c,test_b01/images/t2-20221105-0138_jpg.rf.43d8c8e602cce262578e531b5d20649c.jpg,test_b01/labels/t2-20221105-0138_jpg.rf.43d8c8e602cce262578e531b5d20649c.txt
study1,test_b01,t2,20221105,0208,2022-11-05 02:08:00,2,t2-20221105-0208_jpg.rf.16eef1045b6edd0aedbf53ab39dcc0da,test_b01/images/t2-20221105-0208_jpg.rf.16eef1045b6edd0aedbf53ab39dcc0da.jpg,test_b01/labels/t2-20221105-0208_jpg.rf.16eef1045b6edd0aedbf53ab39dcc0da.txt
study1,test_b01,t2,20221105,0238,2022-11-05 02:38:00,4,t2-20221105-0238_jpg.rf.a47cb28d8b463377ebdb3a3ddb8396f9,test_b01/images/t2-20221105-0238_jpg.rf.a47cb28d8b463377ebdb3a3ddb8396f9.jpg,test_b01/labels/t2-20221105-0238_jpg.rf.a47cb28d8b463377ebdb3a3ddb8396f9.txt
study1,test_b01,t2,20221105,0308,2022-11-05 03:08:00,9,t2-20221105-0308_jpg.rf.10c2fe1f2604b897549d03e26716ba98,test_b01/images/t2-20221105-0308_jpg.rf.10c2fe1f2604b897549d03e26716ba98.jpg,test_b01/labels/t2-20221105-0308_jpg.rf.10c2fe1f2604b897549d03e26716ba98.txt
study1,test_b01,t2,20221105,0338,2022-11-05 03:38:00,3,t2-20221105-0338_jpg.rf.7dc27fc9c38a9505f31e95f56cbe711f,test_b01/images/t2-20221105-0338_jpg.rf.7dc27fc9c38a9505f31e95f56cbe711f.jpg,test_b01/labels/t2-20221105-0338_jpg.rf.7dc27fc9c38a9505f31e95f56cbe711f.txt
study1,test_b01,t2,20221105,0408,2022-11-05 04:08:00,6,t2-20221105-0408_jpg.rf.7b1d78e5f6ec9e357175782edf3500e9,test_b01/images/t2-20221105-0408_jpg.rf.7b1d78e5f6ec9e357175782edf3500e9.jpg,test_b01/labels/t2-20221105-0408_jpg.rf.7b1d78e5f6ec9e357175782edf3500e9.txt
study1,test_b01,t2,20221105,0438,2022-11-05 04:38:00,6,t2-20221105-0438_jpg.rf.202e05b75bf20953f0e1d1722dfb8f3e,test_b01/images/t2-20221105-0438_jpg.rf.202e05b75bf20953f0e1d1722dfb8f3e.jpg,test_b01/labels/t2-20221105-0438_jpg.rf.202e05b75bf20953f0e1d1722dfb8f3e.txt
study1,test_b01,t2,20221105,0508,2022-11-05 05:08:00,6,t2-20221105-0508_jpg.rf.06981a4d1e7a3fba557e27fd1b2c92fe,test_b01/images/t2-20221105-0508_jpg.rf.06981a4d1e7a3fba557e27fd1b2c92fe.jpg,test_b01/labels/t2-20221105-0508_jpg.rf.06981a4d1e7a3fba557e27fd1b2c92fe.txt
study1,test_b01,t2,20221105,0538,2022-11-05 05:38:00,3,t2-20221105-0538_jpg.rf.8bca30329c605b53d477531952a927ba,test_b01/images/t2-20221105-0538_jpg.rf.8bca30329c605b53d477531952a927ba.jpg,test_b01/labels/t2-20221105-0538_jpg.rf.8bca30329c605b53d477531952a927ba.txt
