obs,pre,filename,study,split
6,8,t7-20221202-1227_jpg.rf.6a188c02fa5e9ddaeae21925a1083a67,s1,test_a01
6,8,t7-20221202-1257_jpg.rf.4d5e0a30053885bee161fdfc1e28a831,s1,test_a01
7,9,t7-20221202-1327_jpg.rf.bd783498382071b90fc6f99cdebf0dac,s1,test_a01
7,8,t7-20221202-1356_jpg.rf.92c7082e63332b65e835a23018faf758,s1,test_a01
3,3,t7-20221202-1426_jpg.rf.50bfb332b9f1b1f6cad52a45d9053c0b,s1,test_a01
6,6,t7-20221202-1456_jpg.rf.d1ab5b848b668825bcdcfc5aca9e08be,s1,test_a01
3,5,t7-20221202-1526_jpg.rf.3729c1322b7afe4c3532f4e1f32ec5e0,s1,test_a01
3,4,t7-20221202-1556_jpg.rf.c982842d9702fc6449aada5c78c59b83,s1,test_a01
8,9,t7-20221202-1626_jpg.rf.93799d4b9961fe91972cf6cea8204734,s1,test_a01
7,9,t7-20221202-1656_jpg.rf.f430e6e58363141b712ed87c2dc7ea05,s1,test_a01
4,4,t7-20221202-1726_jpg.rf.f44443aa663e52b4d44b70033b684c7d,s1,test_a01
11,12,t7-20221202-1756_jpg.rf.c886f7c5746bd5e82cf51e2ec1f1a796,s1,test_a01
13,17,t7-20221202-1826_jpg.rf.6c90077a09f704471eef8d62e91c32f7,s1,test_a01
10,11,t7-20221202-1856_jpg.rf.3c2dcd45bb3f49221c92e8f6fadae4c7,s1,test_a01
10,11,t7-20221202-1926_jpg.rf.045ec6eaca28a177e193c41fd978cfdf,s1,test_a01
21,25,t7-20221202-1956_jpg.rf.bddacad9ca9bc27aaa7858680ba6c956,s1,test_a01
11,12,t7-20221202-2026_jpg.rf.53e7efedce538550e29adcc5ffeac37e,s1,test_a01
8,8,t7-20221202-2056_jpg.rf.2c7c6a56d92a56435b1026c76dc11079,s1,test_a01
3,3,t7-20221202-2126_jpg.rf.d358d8c8f978962d23c31575632380a1,s1,test_a01
6,8,t7-20221202-2156_jpg.rf.82ae3c5afec9b46937b08a577bbf476b,s1,test_a01
4,5,t7-20221202-2226_jpg.rf.0424478bc20e8a71ca181bcf1322b250,s1,test_a01
3,4,t7-20221202-2256_jpg.rf.a758c6a090cab7a4b8f5d552a658393a,s1,test_a01
11,12,t7-20221202-2326_jpg.rf.6f05381aa3e150ba69befc5db5ab43d0,s1,test_a01
5,6,t7-20221202-2356_jpg.rf.3fd8db7ddcd5493db7efa11a58903e44,s1,test_a01
5,6,t7-20221203-0026_jpg.rf.d4bc58c5dfc165321539a40ca5c51622,s1,test_a01
5,6,t7-20221203-0056_jpg.rf.71496cae112eaffc4dc7623667d76487,s1,test_a01
5,7,t7-20221203-0126_jpg.rf.ef249cba37b95b2686f96cc4e2ea1396,s1,test_a01
3,5,t7-20221203-0156_jpg.rf.a9b2afdb63112815bea4f2b716aa02cd,s1,test_a01
5,7,t7-20221203-0226_jpg.rf.6736cefc68fae0f025a10d2000d6f5af,s1,test_a01
6,7,t7-20221203-0256_jpg.rf.36b7e2ce8156cc5bb87668424a6c0256,s1,test_a01
4,5,t7-20221203-0326_jpg.rf.9ed62272df62a27d1bc14d2c50bc3dbf,s1,test_a01
5,8,t7-20221203-0356_jpg.rf.318e87803da7c33d7cf193d0dbecc243,s1,test_a01
4,5,t7-20221203-0426_jpg.rf.eba37c59a4f33c057b3508b2464c4ce6,s1,test_a01
6,7,t7-20221203-0456_jpg.rf.dd1fde50b92149576085003a639fc5d7,s1,test_a01
5,6,t7-20221203-0526_jpg.rf.6823f3d1cf6d44f69b360066bca7f254,s1,test_a01
4,6,t7-20221203-0556_jpg.rf.c9cb5c151023a3892f54b499fb9a9c98,s1,test_a01
5,6,t7-20221203-0626_jpg.rf.a01653c2b25336ed53169a555a507a8f,s1,test_a01
6,7,t7-20221203-0656_jpg.rf.cf2f9f06a6ff7a19118e07de02f3007b,s1,test_a01
4,6,t7-20221203-0726_jpg.rf.68fe270f73373b28d7a788b09dc4c6c2,s1,test_a01
6,7,t7-20221203-0756_jpg.rf.fe74a65173d22c7fe05a40fa5f425ed7,s1,test_a01
8,9,t7-20221203-0826_jpg.rf.40bc022eddeb8498557024ef734708bd,s1,test_a01
9,10,t7-20221203-0856_jpg.rf.c7418ecbbded44aff0d787b5f5a144ab,s1,test_a01
4,6,t7-20221203-0926_jpg.rf.e8b0be490864411b199051b90df573c1,s1,test_a01
5,7,t7-20221203-0956_jpg.rf.e964dc51ed0fe7ac0f5c198d42b555c6,s1,test_a01
2,3,t7-20221203-1026_jpg.rf.c9e8e912c248953f49e907d1388f88a6,s1,test_a01
2,4,t7-20221203-1056_jpg.rf.926015875becd96b1c1863d7a783b62c,s1,test_a01
8,10,t7-20221203-1126_jpg.rf.3fada9507e1505a698b5b1ecfe1c4928,s1,test_a01
3,3,t7-20221203-1156_jpg.rf.a44f05e0316214e74c53c29a9d23f00e,s1,test_a01
2,2,t7-20221203-1226_jpg.rf.9c0c967ac29d7312eae6f2efadb446d6,s1,test_a01
4,5,t7-20221203-1256_jpg.rf.fab3635356c7de3a165b5c6a106054b8,s1,test_a01
10,10,t7-20221203-1326_jpg.rf.c3d1df5c0777ee45a8521b1130ad6afc,s1,test_a01
8,8,t7-20221203-1356_jpg.rf.233ee515bf4d2587c71293c7057864de,s1,test_a01
9,10,t7-20221203-1426_jpg.rf.88d2cd0ac651cb231ab520e5a8c865fe,s1,test_a01
6,6,t7-20221203-1456_jpg.rf.ed6d99fd5ae2d1f1ad1d544d626d7393,s1,test_a01
8,8,t7-20221203-1526_jpg.rf.38dada44cfa064e95efa07603de32226,s1,test_a01
12,12,t7-20221203-1556_jpg.rf.fffdce5e0b047acadda1d4c6d12a5500,s1,test_a01
4,5,t7-20221203-1626_jpg.rf.194f4689ca6adf6e56e392abb76d75a7,s1,test_a01
4,4,t7-20221203-1656_jpg.rf.5ff26d6dcccd3be60b95476cc6219d86,s1,test_a01
8,8,t7-20221203-1726_jpg.rf.a8f08077bd96306509fc78f5cb5ad4fa,s1,test_a01
8,8,t7-20221203-1756_jpg.rf.bd46b60b381bcb63cd13f297768b95e4,s1,test_a01
4,5,t7-20221203-1826_jpg.rf.eabb5dd934da7906e274b5f9f2b4d09e,s1,test_a01
6,7,t7-20221203-1856_jpg.rf.12d85656c226e83ed0db08aabfe588de,s1,test_a01
4,6,t7-20221203-1926_jpg.rf.fbe08a415cdcc9dacd5a2a8b95f7fecd,s1,test_a01
3,3,t7-20221203-1956_jpg.rf.ffc2a18b513614d1eb4eba958af68c99,s1,test_a01
3,4,t7-20221203-2026_jpg.rf.125b622add036425f917894acf60d0fd,s1,test_a01
3,4,t7-20221203-2056_jpg.rf.a2b09ea0ed3d48ac266b7666b7756466,s1,test_a01
8,8,t7-20221203-2126_jpg.rf.8f990e88fa14694cb067aaa3627938f1,s1,test_a01
7,7,t7-20221203-2156_jpg.rf.7883f9bfba75df5cab3dcdb0c7b6c14b,s1,test_a01
5,6,t7-20221203-2226_jpg.rf.8a4bcbcbdb776ae2b4f46ea729d9fccc,s1,test_a01
5,8,t7-20221203-2256_jpg.rf.ba0903a32d8de38281ebfee3f3e7f785,s1,test_a01
9,10,t7-20221203-2326_jpg.rf.9e513af826ce81ff1bb8b212b1528174,s1,test_a01
9,11,t7-20221203-2356_jpg.rf.0f8f277c85b327f9f748d3abd5f5d817,s1,test_a01
7,8,t7-20221204-0026_jpg.rf.ddf0118caf132219522d7245ae6b85dd,s1,test_a01
9,10,t7-20221204-0056_jpg.rf.c133f7f3f9f9e3fb2fb27cc44a1ce4fe,s1,test_a01
7,7,t7-20221204-0126_jpg.rf.fb4e8023006b0425ccbafa55798fb8a5,s1,test_a01
7,7,t7-20221204-0156_jpg.rf.01d2a757f4e8bc56cce5da1bc176e840,s1,test_a01
4,4,t7-20221204-0226_jpg.rf.3391fe080700e62982ad02d06c6c217e,s1,test_a01
8,8,t7-20221204-0256_jpg.rf.c5c9c4f8024bf5307c3ce1f626e2568c,s1,test_a01
6,7,t7-20221204-0326_jpg.rf.da3503182f1929d83c32fec32da3accb,s1,test_a01
7,7,t7-20221204-0356_jpg.rf.44d2061578d6d03888713bf42eeaf4cb,s1,test_a01
3,3,t7-20221204-0426_jpg.rf.735f79c9eb6cf5b92369f00a82f1e781,s1,test_a01
5,6,t7-20221204-0456_jpg.rf.7128187799c4a58cf007ff21e9b088f9,s1,test_a01
6,6,t7-20221204-0526_jpg.rf.702166f412074bd0e3e4f27f7bda3a0f,s1,test_a01
7,7,t7-20221204-0556_jpg.rf.b70d866fc03c9df90f2e521e3e1c9291,s1,test_a01
5,5,t7-20221204-0626_jpg.rf.e99d62ebae1324ecbd9f6cef767bb91e,s1,test_a01
7,7,t7-20221204-0656_jpg.rf.cfcb651b72ce90644ce8c7ef501407b2,s1,test_a01
8,8,t7-20221204-0726_jpg.rf.9579da55037400ca69196c7811e1c01a,s1,test_a01
10,11,t7-20221204-0756_jpg.rf.8b48292c227d996ce07990b80dde2eb1,s1,test_a01
7,7,t7-20221204-0826_jpg.rf.55db8d6a70721834e78f6120b92dce4b,s1,test_a01
5,5,t7-20221204-0856_jpg.rf.ce64254e44e42e586b929de6c733af17,s1,test_a01
6,8,t7-20221204-0926_jpg.rf.9bed545ecedffeb31ae873e2e1c4ffed,s1,test_a01
4,5,t7-20221204-0956_jpg.rf.20850b02ab282d5a0055d1759568b27c,s1,test_a01
7,8,t7-20221204-1026_jpg.rf.e544feae77e61a024cb61568b94f824e,s1,test_a01
7,7,t7-20221204-1056_jpg.rf.e07a94755c58cf41975082059c8d8f02,s1,test_a01
6,6,t7-20221204-1126_jpg.rf.8cdc4a183b7f6ceb97902b561522eda9,s1,test_a01
4,4,t7-20221204-1156_jpg.rf.d4292debf26a2792f5d35e116381dc3f,s1,test_a01
4,3,t7-20221204-1226_jpg.rf.0dcec800a2ff1e0a415283af74824f62,s1,test_a01
4,4,t7-20221204-1256_jpg.rf.81f7a6be0da515982891c58b62b0db1a,s1,test_a01
6,7,t7-20221204-1326_jpg.rf.f5857d86fdcf666716f8f238c3e74ba3,s1,test_a01
3,4,t7-20221204-1356_jpg.rf.e882e07c935d8c5aae35d7e75fdd1ef5,s1,test_a01
3,4,t7-20221204-1426_jpg.rf.68b5e37f3cba51ba3a739462925b25ec,s1,test_a01
2,1,t7-20221204-1456_jpg.rf.4958b858338de22c12aae1e53131a6a5,s1,test_a01
8,9,t7-20221204-1526_jpg.rf.4b29597390aab5fc28b3cdd692d4ee4c,s1,test_a01
6,4,t7-20221204-1556_jpg.rf.1b71be93a0fa349a9ee643c722331847,s1,test_a01
7,10,t7-20221204-1626_jpg.rf.ffcae5e4612375daa4a758ff5a87dcd5,s1,test_a01
2,2,t7-20221204-1656_jpg.rf.6c7fd69d69e218c999b12748d55d58df,s1,test_a01
3,5,t7-20221204-1726_jpg.rf.1e291d26f71c70bf245a5af13abce883,s1,test_a01
7,8,t7-20221204-1756_jpg.rf.a01d68b62bcf62e5cf56b790a7bdf3a6,s1,test_a01
8,8,t7-20221204-1826_jpg.rf.1ae53d51f4c12f4bdc5214ea652da0cd,s1,test_a01
2,3,t7-20221204-1856_jpg.rf.1b3a7d87d6d65fe77139768e8cf3a315,s1,test_a01
4,5,t7-20221204-1926_jpg.rf.c10f53e147c584e87556a7a3aa1770a4,s1,test_a01
6,6,t7-20221204-1956_jpg.rf.ea07a650d5d9322ee296555b78706b67,s1,test_a01
4,4,t7-20221204-2026_jpg.rf.9a7f3f1a0327d1e0ff760c98bdeefd29,s1,test_a01
3,3,t7-20221204-2056_jpg.rf.e6502b32e9e13ccdc5f62b979ce0bcc7,s1,test_a01
9,9,t7-20221204-2126_jpg.rf.2db1cfe276baf265a1a9571821263f9c,s1,test_a01
9,8,t7-20221204-2156_jpg.rf.51643f0f81acb50df0ada5fd3582f210,s1,test_a01
6,5,t7-20221204-2226_jpg.rf.08cb8996ec5a46524bc8d8bd4a7e2e32,s1,test_a01
9,9,t7-20221204-2256_jpg.rf.8fc8c219fe2a546715c94a90a6b61016,s1,test_a01
6,6,t7-20221204-2326_jpg.rf.259720506e9f0104f71481d6ee4c9bca,s1,test_a01
5,5,t7-20221204-2356_jpg.rf.3eb512d902fe86276ff81cd0d203cedb,s1,test_a01
6,6,t7-20221205-0026_jpg.rf.00af58e26d0b1ac40cad3c7802b22840,s1,test_a01
6,6,t7-20221205-0056_jpg.rf.9da338ef01e16bd0ad9b93fe57b6811b,s1,test_a01
7,7,t7-20221205-0126_jpg.rf.369c614010b0ce746d584eeee8b79d8c,s1,test_a01
5,5,t7-20221205-0156_jpg.rf.848cd04faaba6013155e6123bb811488,s1,test_a01
6,6,t7-20221205-0226_jpg.rf.d495aecb0b5241ea6936b4a0be0506ec,s1,test_a01
4,4,t7-20221205-0256_jpg.rf.b447adffc49b40ee6ace366f524ac598,s1,test_a01
7,6,t7-20221205-0326_jpg.rf.501175f92553aae3a49d5d59c900922d,s1,test_a01
4,4,t7-20221205-0356_jpg.rf.5f5931c40e2934bf2165246510dea4c2,s1,test_a01
5,5,t7-20221205-0426_jpg.rf.d52c0f1120b4ea777a91eed8b284af10,s1,test_a01
10,11,t7-20221205-0456_jpg.rf.836e09ac2067ca8e051d3d2b4b5e8ee3,s1,test_a01
9,10,t7-20221205-0526_jpg.rf.f49154d5197d9e49faab7b4e4a9c9640,s1,test_a01
6,8,t7-20221205-0556_jpg.rf.d17526d408788809523c5e181148837d,s1,test_a01
5,6,t7-20221205-0626_jpg.rf.7a2d1084cb65f6bc890bae0c9e4abe73,s1,test_a01
8,9,t7-20221205-0656_jpg.rf.03dced856c4ee5b974fdab11411a5003,s1,test_a01
4,6,t7-20221205-0726_jpg.rf.1a0207ddaec26077b4e0cbda7cdd91b1,s1,test_a01
4,4,t7-20221205-0756_jpg.rf.a361c9c46fc4f349fc16267c26b61ef4,s1,test_a01
4,4,t7-20221205-0826_jpg.rf.183c381b5c878ede3fe68680f4b51d2a,s1,test_a01
2,2,t7-20221205-0856_jpg.rf.915e6a2fbdff5cdbf22bfc60c247589a,s1,test_a01
2,1,t7-20221205-0926_jpg.rf.b4951386306a6b62b11f395c3c62883b,s1,test_a01
6,6,t7-20221205-0956_jpg.rf.ae5954fa1f458403606a8e34e0753c18,s1,test_a01
7,7,t7-20221205-1026_jpg.rf.2b9db54a20d7981666fb7647d6cccea1,s1,test_a01
5,5,t7-20221205-1056_jpg.rf.3cc6cbb565723b6bebc2c4cc4603a080,s1,test_a01
4,4,t7-20221205-1126_jpg.rf.84d18e02358eaa5232de4476d1455dc1,s1,test_a01
8,9,t7-20221205-1156_jpg.rf.09254ae46555fec4891b49fc71220fa9,s1,test_a01
6,8,t7-20221205-1226_jpg.rf.806bc1c8554e80255d105f6eabba762a,s1,test_a01
6,6,t7-20221205-1256_jpg.rf.b4866600358ee037008c23ceac3843b6,s1,test_a01
0,1,t8-20221205-1429_jpg.rf.e5c195cf6cba00f6d15bae73eb488167,s1,test_a01
0,3,t8-20221205-1459_jpg.rf.e7ca30a54cbb1d2b413e48cdc2c249df,s1,test_a01
4,4,t8-20221205-1529_jpg.rf.5c20af74583d79b00d0f27c3f0ff168f,s1,test_a01
8,8,t8-20221205-1559_jpg.rf.d48d93db9088fe5fd09f96bd965e095d,s1,test_a01
12,12,t8-20221205-1629_jpg.rf.58a97491542399fbdce18cf36665c56c,s1,test_a01
6,6,t8-20221205-1659_jpg.rf.b5a10cd7e808d07e8e967b743b531563,s1,test_a01
7,7,t8-20221205-1729_jpg.rf.57776018cc88db1c76a9ff9a4d501d0e,s1,test_a01
4,4,t8-20221205-1759_jpg.rf.1f231ee41bae24eed1b7d3905f2afb30,s1,test_a01
6,6,t8-20221205-1829_jpg.rf.f3d23d7e2818a6362453b61cb1f3dcee,s1,test_a01
3,3,t8-20221205-1859_jpg.rf.8833e88bcc3bd6ee85e001e16ab92091,s1,test_a01
5,5,t8-20221205-1929_jpg.rf.e8d538db0f4da8a4f3dab6c62d6461b5,s1,test_a01
4,4,t8-20221205-1959_jpg.rf.8de26c9cff487d0cccb7c8c1990ce264,s1,test_a01
4,4,t8-20221205-2029_jpg.rf.ea5b34cee094419adcdda672ad1b1fd2,s1,test_a01
3,3,t8-20221205-2059_jpg.rf.a9e31dfb7ce5bc040c1a6416d4bbb435,s1,test_a01
1,1,t8-20221205-2129_jpg.rf.6dbf47e1edf1e58ff708708770dc64c8,s1,test_a01
4,4,t8-20221205-2159_jpg.rf.206eea7f7606c9881b7e791d6b1538aa,s1,test_a01
1,1,t8-20221205-2229_jpg.rf.ea3a0e010c61d2da4d9af8c3d0e6f3a3,s1,test_a01
4,4,t8-20221205-2259_jpg.rf.87c526521611b637a611642f3c3c3224,s1,test_a01
2,2,t8-20221205-2329_jpg.rf.b9610d8779d8045f0774abf76d09ff1e,s1,test_a01
2,2,t8-20221205-2359_jpg.rf.dd20b4797a6beb8b80445ec271c20443,s1,test_a01
1,1,t8-20221206-0029_jpg.rf.dc8007f8c0a1315c1ad5d1dec34a08ea,s1,test_a01
2,2,t8-20221206-0059_jpg.rf.62212e8a4b05b875b39368440d7f6eff,s1,test_a01
2,2,t8-20221206-0129_jpg.rf.669760e10de358ca9953a068e8a2fef4,s1,test_a01
2,2,t8-20221206-0159_jpg.rf.39fc26887e1496ccd3f97df9de45738f,s1,test_a01
5,5,t8-20221206-0229_jpg.rf.338fde8fa18cd34106e18fe61f82120d,s1,test_a01
6,6,t8-20221206-0259_jpg.rf.f4aee4cfce329223e7867cf9ce931b5a,s1,test_a01
2,2,t8-20221206-0329_jpg.rf.adc185b0b26d5a37eb7ca9654d1dcd0e,s1,test_a01
2,2,t8-20221206-0359_jpg.rf.34f2fcba62aa3c13ee034ed263b945cc,s1,test_a01
6,6,t8-20221206-0429_jpg.rf.6c21116d22cd33b96553961ee0416d2a,s1,test_a01
1,1,t8-20221206-0459_jpg.rf.fed405fef2c29027e2724dd5f46443b5,s1,test_a01
2,2,t8-20221206-0529_jpg.rf.8d36fe18a9aed0660d871d1872c4af4f,s1,test_a01
1,1,t8-20221206-0559_jpg.rf.49800969fc8e7af4d8cfa10ea2e4d209,s1,test_a01
1,1,t8-20221206-0629_jpg.rf.eabb1adc649088d66c9b1d318e851ad8,s1,test_a01
2,2,t8-20221206-0659_jpg.rf.3996b435071458749f3cba4cd392fe5b,s1,test_a01
1,1,t8-20221206-0729_jpg.rf.79fd47dc664908318f7387dbc7830aea,s1,test_a01
3,3,t8-20221206-0759_jpg.rf.6a2708ef0962396b94308ce3c339a5c6,s1,test_a01
4,4,t8-20221206-0829_jpg.rf.b6e9e7cf36b0bbd7e7aed8fb9862a99f,s1,test_a01
3,3,t8-20221206-0929_jpg.rf.058ea20ec4194a530eb5e4f25d2d4b97,s1,test_a01
1,1,t8-20221206-0959_jpg.rf.b45f281b98064c81733c281f168ccc99,s1,test_a01
1,1,t8-20221206-1029_jpg.rf.12bcfcb6398a1e80737749889060c409,s1,test_a01
2,2,t8-20221206-1059_jpg.rf.993aa5dc7c042211a55a755ec43cfe66,s1,test_a01
2,2,t8-20221206-1129_jpg.rf.53b246e741d2b46502b197c40019cc3e,s1,test_a01
2,1,t8-20221206-1159_jpg.rf.972d98101ca4cdeb769ca506caee4976,s1,test_a01
1,1,t8-20221206-1229_jpg.rf.909113b88e1d252a4b7d3b41eed6a737,s1,test_a01
1,1,t8-20221206-1259_jpg.rf.d605bfb10665af882a1ce660e600cd96,s1,test_a01
2,2,t8-20221206-1329_jpg.rf.36b5b9e00377e4cccee0caf2f65bbd20,s1,test_a01
0,2,t9-20221205-1428_jpg.rf.bdb1404af0bd5b7c5831795b53b9cf61,s1,test_a01
1,2,t9-20221205-1458_jpg.rf.af2b77ec3d3fc632cabcd4c50c647076,s1,test_a01
1,2,t9-20221205-1528_jpg.rf.8ae543dc2de87d31f6e73f970738b5cd,s1,test_a01
2,4,t9-20221205-1558_jpg.rf.1d2b44f559a7adf259feb4a14f01978e,s1,test_a01
0,2,t9-20221205-1628_jpg.rf.ae3bc780c619d3cb6a0b7a4e7060e594,s1,test_a01
0,1,t9-20221205-1658_jpg.rf.5438849d8f74bbf2e5b6c8314b85090d,s1,test_a01
0,2,t9-20221205-1728_jpg.rf.96ed050347a3fc76564b57089844862b,s1,test_a01
0,2,t9-20221205-1758_jpg.rf.f1788904b1f4c3deb2ed6e25be717218,s1,test_a01
0,2,t9-20221205-1828_jpg.rf.1a712ccd86a7edec1436abb6d9817fdc,s1,test_a01
0,2,t9-20221205-1858_jpg.rf.354ef0ff2a81aa726cb0c0aded74e1a6,s1,test_a01
0,1,t9-20221205-1928_jpg.rf.1e309263b523a85af7081a277e087cdb,s1,test_a01
2,3,t9-20221205-1958_jpg.rf.ecd305b67d75d07858d12eb1350723ba,s1,test_a01
1,2,t9-20221205-2028_jpg.rf.af1d3faf0880de53495742b83b0e5b36,s1,test_a01
3,5,t9-20221205-2058_jpg.rf.a69c41c3efa2e53a5f92b2b88457b4dc,s1,test_a01
3,6,t9-20221205-2128_jpg.rf.ae99abbbc7b7bd1b1c9842232253f02b,s1,test_a01
4,6,t9-20221205-2158_jpg.rf.adabdc40399a54dc4338e0334cec1c71,s1,test_a01
8,10,t9-20221205-2228_jpg.rf.a7062b1a83563761223905c662957f79,s1,test_a01
19,23,t9-20221205-2258_jpg.rf.8a971e5d4253a1435b3ab4a4d2599cb5,s1,test_a01
24,29,t9-20221205-2328_jpg.rf.ce57af60552781c2ce7ed950c3d8e418,s1,test_a01
11,14,t9-20221205-2358_jpg.rf.e7bde90719ff9250a7b831b4b4ee642f,s1,test_a01
7,8,t9-20221206-0028_jpg.rf.c3e0d4a296b232c339b3f6697ea38881,s1,test_a01
13,15,t9-20221206-0058_jpg.rf.d57c7949d4548f713d896a8d8219aa78,s1,test_a01
9,11,t9-20221206-0128_jpg.rf.f41763f4d1690af87600cf448d14d55b,s1,test_a01
19,22,t9-20221206-0158_jpg.rf.32d753cf6aedc2ca36903dc5c9b71bf2,s1,test_a01
12,15,t9-20221206-0228_jpg.rf.719af3677c687f83dbf01c04d97d1cdf,s1,test_a01
8,11,t9-20221206-0258_jpg.rf.29a073533b1dc32eeb2bd31c0e7ee00b,s1,test_a01
4,7,t9-20221206-0328_jpg.rf.c40569f3ccc673e530e47ec327d7a5b9,s1,test_a01
1,3,t9-20221206-0358_jpg.rf.5024370f7aa4df178d348e5627f69ac4,s1,test_a01
9,11,t9-20221206-0428_jpg.rf.a43f27f1d3cfee116c44d2e2af6594f2,s1,test_a01
4,6,t9-20221206-0458_jpg.rf.bc51d7597f3c490dabb92ab78b37f62d,s1,test_a01
7,9,t9-20221206-0528_jpg.rf.cad581cc20a9cfea6b0df2a71037a867,s1,test_a01
6,9,t9-20221206-0558_jpg.rf.623f25e26eb1bc90e63db6c17160a912,s1,test_a01
6,8,t9-20221206-0628_jpg.rf.c4a55ef2ae8d9c4654cbad12992eac13,s1,test_a01
4,6,t9-20221206-0658_jpg.rf.8322e1e753d0feff0f4e00494f095891,s1,test_a01
4,6,t9-20221206-0728_jpg.rf.a61d23296c5016c86cc2cf73ec54e480,s1,test_a01
5,7,t9-20221206-0758_jpg.rf.cceba26c5335c2ea6e739c7b5fd14321,s1,test_a01
5,7,t9-20221206-0828_jpg.rf.881b7b45c5b9780bce401954693376ab,s1,test_a01
7,9,t9-20221206-0858_jpg.rf.d5126bf5228947d29041050079875ba4,s1,test_a01
